id	hh:mm:ss	Y/N	Rating	Facit
I2		N	4	
S2S1	00:00:21	N		T
S2S2	00:02:33	N		T
A2S1	00:00:09	Y		T
A2S2	00:00:10	Y		T
D2S1	00:00:10	N		T
D2S2	00:01:26	N		T
S3S1	00:00:06	Y		T
S3S2	00:00:10	N		T
A3S1	00:00:17	N		T
A3S2	00:01:08	Y		T
D3S1	00:00:07	Y		T
D3S2	00:00:06	N		T
S1S1	00:00:10	N		T
S1S2	00:00:05	Y		T
A1S1	00:00:10	N		T
A1S2	00:00:05	Y		T
D1S1	00:00:13	Y		T
D1S2	00:01:05	Y		T
S2L1	00:00:16	N		T
S2L2	00:00:09	Y		T
A2L1	00:02:45	Y		T
A2L2	00:00:14	Y		F
D2L1	00:00:14	Y		T
D2L2	00:01:12	N		T
S3L1	00:01:35	N		T
S3L2	00:00:08	Y		T
A3L1	00:01:21	Y		T
A3L2	00:00:23	N		T
D3L1	00:00:08	N		T
D3L2	00:00:09	N		T
S1L1	00:00:15	Y		T
S1L2	00:00:29	N		T
A1L1	00:00:09	N		T
A1L2	00:01:55	N		T
D1L1	00:00:12	Y		T
D1L2	00:01:07	N		T
