id	hh:mm:ss	Y/N	Rating	Facit
I2		N	4	
S1S1	00:01:03	N		T
S1S2	00:00:19	Y		T
A1S1	00:01:53	N		T
A1S2	00:00:27	Y		T
D1S1	00:01:34	Y		T
D1S2	00:00:23	Y		T
S2S1	00:03:57	N		T
S2S2	00:02:08	N		T
A2S1	00:01:32	Y		T
A2S2	00:01:44	Y		T
D2S1	00:02:50	Y		F
D2S2	00:00:37	N		T
S3S1	00:01:48	Y		T
S3S2	00:01:34	N		T
A3S1	00:01:23	N		T
A3S2	00:01:32	Y		T
D3S1	00:02:22	Y		T
D3S2	00:00:26	N		T
S1L1	00:01:59	Y		T
S1L2	00:02:02	N		T
A1L1	00:02:41	N		T
A1L2	00:01:01	N		T
D1L1	00:01:57	Y		T
D1L2	00:00:22	N		T
S2L1	00:01:57	N		T
S2L2	00:00:13	Y		T
A2L1	00:01:37	Y		T
A2L2	00:02:25	N		T
D2L1	00:01:04	Y		T
D2L2	00:00:42	N		T
S3L1	00:01:55	N		T
S3L2	00:01:47	Y		T
A3L1	00:00:34	Y		T
A3L2	00:01:31	N		T
D3L1	00:01:01	N		T
D3L2	00:01:28	N		T
